actor,actorLabel,IMDb_ID
http://www.wikidata.org/entity/Q274366,Lacey Duvalle,nm0245149
http://www.wikidata.org/entity/Q586807,Paula Kelly,nm0446780
http://www.wikidata.org/entity/Q598243,Junkyard Dog,nm0728810
http://www.wikidata.org/entity/Q598416,Jo Jo White,nm0924973
http://www.wikidata.org/entity/Q598978,Chuck Cooper,nm0177946
http://www.wikidata.org/entity/Q609860,Woody Strode,nm0834754
http://www.wikidata.org/entity/Q610307,Antwon Tanner,nm0849612
http://www.wikidata.org/entity/Q614402,Denzel Whitaker,nm1091701
http://www.wikidata.org/entity/Q618233,Wendy Williams,nm1829292
http://www.wikidata.org/entity/Q623321,Jeremy Suarez,nm0836836
http://www.wikidata.org/entity/Q274592,India,nm0408510
http://www.wikidata.org/entity/Q276218,Natashia Williams,nm0931372
http://www.wikidata.org/entity/Q282820,Bernie Hamilton,nm0357745
http://www.wikidata.org/entity/Q284254,Karyn Parsons,nm0663854
http://www.wikidata.org/entity/Q288680,Omar Benson Miller,nm0589077
http://www.wikidata.org/entity/Q291628,Erika Alexander,nm0004697
http://www.wikidata.org/entity/Q292623,Farrah Franklin,nm0221822
http://www.wikidata.org/entity/Q293275,Susie Garrett,nm0308215
http://www.wikidata.org/entity/Q294449,Lil Jon,nm1441760
http://www.wikidata.org/entity/Q295107,Mr. T,nm0001558
http://www.wikidata.org/entity/Q295322,Metta World Peace,nm1927491
http://www.wikidata.org/entity/Q296500,Terrence Howard,nm0005024
http://www.wikidata.org/entity/Q297334,Omar Epps,nm0004898
http://www.wikidata.org/entity/Q298209,Willow Smith,nm2405238
http://www.wikidata.org/entity/Q299138,Kid Cudi,nm3264596
http://www.wikidata.org/entity/Q299342,Loretta Long,nm0519077
http://www.wikidata.org/entity/Q299689,Tamara Tunie,nm0876645
http://www.wikidata.org/entity/Q309843,Ja Rule,nm0750019
http://www.wikidata.org/entity/Q309941,Ice-T,nm0001384
http://www.wikidata.org/entity/Q310315,Ving Rhames,nm0000609
http://www.wikidata.org/entity/Q310551,Harold Perrineau,nm0674782
http://www.wikidata.org/entity/Q310553,Malcolm David Kelley,nm1287636
http://www.wikidata.org/entity/Q310785,Marlon Wayans,nm0005541
http://www.wikidata.org/entity/Q311244,Young Buck,nm1544069
http://www.wikidata.org/entity/Q312173,Bow Wow,nm0510168
http://www.wikidata.org/entity/Q312294,Christopher Judge,nm0431895
http://www.wikidata.org/entity/Q312570,LeVar Burton,nm0000996
http://www.wikidata.org/entity/Q313080,Soulja Boy,nm2797293
http://www.wikidata.org/entity/Q313367,Gary Coleman,nm0171041
http://www.wikidata.org/entity/Q313525,Lionel Hampton,nm0359019
http://www.wikidata.org/entity/Q314508,Rockmond Dunbar,nm0241870
http://www.wikidata.org/entity/Q314597,Proof,nm1146084
http://www.wikidata.org/entity/Q314646,David Otunga,nm3002635
http://www.wikidata.org/entity/Q316955,Michael Dorn,nm0000373
http://www.wikidata.org/entity/Q317370,Bobby Lashley,nm2048764
http://www.wikidata.org/entity/Q318792,Chingy,nm1419780
http://www.wikidata.org/entity/Q318938,Bubba Smith,nm0807571
http://www.wikidata.org/entity/Q319392,Marlon Jackson,nm0413832
http://www.wikidata.org/entity/Q320190,Trey Songz,nm2016091
http://www.wikidata.org/entity/Q320218,Carl Weathers,nm0001835
http://www.wikidata.org/entity/Q1253845,J. August Richards,nm0724124
http://www.wikidata.org/entity/Q1258697,Drew Bundini Brown,nm0113467
http://www.wikidata.org/entity/Q1281640,John Kitzmiller,nm0457839
http://www.wikidata.org/entity/Q1286406,Kevin Grevioux,nm0340485
http://www.wikidata.org/entity/Q1290449,Jimmie Walker,nm0907858
http://www.wikidata.org/entity/Q1291441,Michelle Hurd,nm0403335
http://www.wikidata.org/entity/Q1306231,Troy Beyer,nm0004752
http://www.wikidata.org/entity/Q1308273,Noble Johnson,nm0425903
http://www.wikidata.org/entity/Q1319798,Aldis Hodge,nm0388038
http://www.wikidata.org/entity/Q1320622,Kristal Marshall,nm1998987
http://www.wikidata.org/entity/Q1321005,Wood Harris,nm0365445
http://www.wikidata.org/entity/Q1321014,Jason Winston George,nm0313464
http://www.wikidata.org/entity/Q1332579,James Gaines,nm0301330
http://www.wikidata.org/entity/Q1336425,Kevin Randleman,nm2040706
http://www.wikidata.org/entity/Q1339382,Kimora Lee Simmons,nm0454042
http://www.wikidata.org/entity/Q1344285,Goldie Loc,nm0516581
http://www.wikidata.org/entity/Q1344354,Sharif Atkins,nm0040653
http://www.wikidata.org/entity/Q1345645,Montel Williams,nm0931354
http://www.wikidata.org/entity/Q1346591,Roger E. Mosley,nm0608853
http://www.wikidata.org/entity/Q1348272,James R. Black,nm0085316
http://www.wikidata.org/entity/Q1352765,Mopreme Shakur,nm1241878
http://www.wikidata.org/entity/Q1354247,Oscar Micheaux,nm0584778
http://www.wikidata.org/entity/Q1359039,Spider Loc,nm2103839
http://www.wikidata.org/entity/Q1359247,Murphy Lee,nm1197337
http://www.wikidata.org/entity/Q1370892,Phife Dawg,nm0205954
http://www.wikidata.org/entity/Q472053,Morris Chestnut,nm0004820
http://www.wikidata.org/entity/Q477819,Gregory Alan Williams,nm0930707
http://www.wikidata.org/entity/Q493227,Andre Royo,nm0747420
http://www.wikidata.org/entity/Q500628,Lamorne Morris,nm2031358
http://www.wikidata.org/entity/Q501996,Scatman Crothers,nm0001079
http://www.wikidata.org/entity/Q503399,Paul James,nm1482818
http://www.wikidata.org/entity/Q505256,Joe Greene,nm0338797
http://www.wikidata.org/entity/Q505641,Deacon Jones,nm0427893
http://www.wikidata.org/entity/Q505882,Biz Markie,nm0548475
http://www.wikidata.org/entity/Q507985,Shar Jackson,nm0005046
http://www.wikidata.org/entity/Q508564,Vonetta McGee,nm0569144
http://www.wikidata.org/entity/Q510998,Lynne Moody,nm0600508
http://www.wikidata.org/entity/Q511742,Ntozake Shange,nm0788110
http://www.wikidata.org/entity/Q511948,Marsha Hunt,nm0402556
http://www.wikidata.org/entity/Q512720,Shannon Kane,nm2000144
http://www.wikidata.org/entity/Q515562,Cymphonique Miller,nm2597467
http://www.wikidata.org/entity/Q515632,Ossie Davis,nm0001115
http://www.wikidata.org/entity/Q517362,Damien Dante Wayans,nm1349040
http://www.wikidata.org/entity/Q519985,Deborah Pratt,nm0695445
